Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protein processing in endoplasmic reticulum	7/165	9.377852612229621E-5	0.0016046547803148462	0	0	6.628787878787879	61.47918809215434	PDIA3;VCP;UBE2D3;BAX;RAD23A;NFE2L2;HSPA1A
Leishmaniasis	5/74	1.1230156955853776E-4	0.0018204675486331386	0	0	10.557432432432433	96.01269763343569	HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Influenza A	7/171	1.1720644706520426E-4	0.0018049792848041455	0	0	6.396198830409356	57.895664942177206	HLA-DPB1;HLA-DRA;ACTB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HSPA1A
Systemic lupus erythematosus	6/133	2.1574163029751612E-4	0.0031642105776969027	0	0	7.048872180451127	59.50255419837226	SSB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Rheumatoid arthritis	5/91	2.9730585334534766E-4	0.004162281946834868	0	0	8.585164835164834	69.71796995027266	HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Th1 and Th2 cell differentiation	5/92	3.1279642093778854E-4	0.004188752071688646	0	0	8.491847826086955	68.5288552256566	HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Cell adhesion molecules (CAMs)	6/145	3.436688836437742E-4	0.004410417340095102	0	0	6.46551724137931	51.56787873933888	HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA1;HLA-DRB1;HLA-DPA1
Hematopoietic cell lineage	5/97	3.9962022634635453E-4	0.004923321188587087	0	0	8.054123711340205	63.02348498702059	HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Regulation of actin cytoskeleton	7/214	4.608918275950352E-4	0.005459795496125802	0	0	5.110981308411215	39.264332891797736	ARPC3;ARPC1B;CFL1;MSN;ARPC5;ACTB;MYL12A
Human T-cell leukemia virus 1 infection	7/219	5.289288850372522E-4	0.006033707281165691	0	0	4.994292237442922	37.680219731558886	HLA-DPB1;HLA-DRA;BAX;HLA-A;HLA-DQA1;HLA-DRB1;HLA-DPA1
Th17 cell differentiation	5/107	6.265349689611154E-4	0.00689188465857227	0	0	7.301401869158878	53.85007278626862	HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Shigellosis	4/65	8.013695005030788E-4	0.008511096763963734	0	0	9.615384615384615	68.54988863708172	ARPC3;ARPC1B;ARPC5;ACTB
Endocytosis	7/244	9.985855948545681E-4	0.010252145440506899	0	0	4.482581967213115	30.970923922514757	SNX3;ARPC3;ARPC1B;AP2S1;HLA-A;ARPC5;HSPA1A
Bacterial invasion of epithelial cells	4/74	0.0013029754555763976	0.012945691623146143	0	0	8.445945945945946	56.10730420500865	ARPC3;ARPC1B;ARPC5;ACTB
Huntington disease	6/193	0.00153025370446845	0.014728691905508831	0	0	4.857512953367875	31.48796180736905	NDUFA13;NDUFA12;COX4I1;AP2S1;BAX;COX7A2
Spliceosome	5/134	0.0017158482065078452	0.016014583260739887	0	0	5.830223880597014	37.12597795927585	PCBP1;SRSF5;HNRNPA1;SRSF9;HSPA1A
Parkinson disease	5/142	0.0022114887656978738	0.02003348646573368	0	0	5.501760563380282	33.63825561518209	NDUFA13;NDUFA12;COX4I1;COX7A2;PARK7
Salmonella infection	4/86	0.002267220522355113	0.019951540596724996	0	0	7.267441860465116	44.25291160769241	ARPC3;ARPC1B;ARPC5;ACTB
Human immunodeficiency virus 1 infection	6/212	0.0024542632573262705	0.020997585646013648	0	0	4.422169811320755	26.576925095620993	PDIA3;GNB2;TRADD;CFL1;BAX;HLA-A
Non-alcoholic fatty liver disease (NAFLD)	5/149	0.0027244300696449442	0.02267903949866602	0	0	5.243288590604027	30.96421991136603	NDUFA13;NDUFA12;COX4I1;BAX;COX7A2
Fc gamma R-mediated phagocytosis	4/91	0.00278443975654089	0.022568616974068267	0	0	6.868131868131869	40.41008647291539	ARPC3;ARPC1B;CFL1;ARPC5
Proteasome	3/45	0.002986140698480546	0.023582854746974566	0	0	10.416666666666666	60.560140224908835	PSMA3;PSMD4;PSMA1
Alzheimer disease	5/171	0.00489721484980154	0.03770855434347186	0	0	4.568713450292397	24.301391783007226	NDUFA13;NDUFA12;COX4I1;COX7A2;GAPDH
Kaposi sarcoma-associated herpesvirus infection	5/186	0.006947667584367648	0.05219223453622526	0	0	4.200268817204301	20.87260280201222	ATG3;GNB2;TRADD;BAX;HLA-A
Viral carcinogenesis	5/201	0.009534928509963597	0.06992280907306639	0	0	3.88681592039801	18.084551996276247	PKM;YWHAQ;TRADD;BAX;HLA-A
Oxidative phosphorylation	4/133	0.010574878141567415	0.07574563878145962	0	0	4.6992481203007515	21.378167656824363	NDUFA13;NDUFA12;COX4I1;COX7A2
Measles	4/138	0.011983092592062417	0.08388164814443692	0	0	4.528985507246377	20.03740295905749	TRADD;MSN;BAX;HSPA1A
Human cytomegalovirus infection	5/225	0.014941932412454064	0.1022692262896856	0	0	3.4722222222222223	14.595776954046354	PDIA3;GNB2;TRADD;BAX;HLA-A
Pentose phosphate pathway	2/30	0.015725962805572914	0.10529557704600995	0	0	10.416666666666666	43.25460677677689	TALDO1;ALDOA
Thermogenesis	5/231	0.01655947554772108	0.10851741422761901	0	0	3.3820346320346317	13.869036797720945	NDUFA13;NDUFA12;COX4I1;COX7A2;ACTB
Fructose and mannose metabolism	2/33	0.018851992542239616	0.12096695214603753	0	0	9.469696969696969	37.60546084768857	TPI1;ALDOA
Prion diseases	2/35	0.02106889746284963	0.1324330697664834	0	0	8.928571428571427	34.46390517749773	BAX;HSPA1A
Tight junction	4/170	0.02383824677104715	0.14684360010965045	0	0	3.676470588235294	13.736999930044915	ACTR3;MSN;ACTB;MYL12A
HIF-1 signaling pathway	3/100	0.026413837900108636	0.15951886418104824	0	0	4.6875	17.033752702839106	PGK1;ALDOA;GAPDH
Phenylalanine, tyrosine and tryptophan biosynthesis	1/5	0.03159594168817669	0.18714519307612348	0	0	31.25	107.96020606956702	IL4I1
Leukocyte transendothelial migration	3/112	0.03524956165458957	0.20484650923799222	0	0	4.185267857142857	14.000985707862602	MSN;ACTB;MYL12A
Cysteine and methionine metabolism	2/47	0.03642818577360678	0.20777557811612754	0	0	6.648936170212766	22.024019079401167	IL4I1;MAT2B
Legionellosis	2/55	0.048425173316674404	0.27118097057337665	0	0	5.681818181818182	17.20304256034746	VCP;HSPA1A
Apoptosis	3/143	0.064142125710949	0.35278169141021953	0	0	3.277972027972028	9.003454797411296	TRADD;BAX;ACTB
Retrograde endocannabinoid signaling	3/148	0.06957701113635956	0.375959989999978	0	0	3.16722972972973	8.441684119407816	NDUFA13;NDUFA12;GNB2
Hepatitis C	3/155	0.07752356532427919	0.4116768641358274	0	0	3.024193548387097	7.733387056880981	YWHAQ;TRADD;BAX
Synaptic vesicle cycle	2/78	0.0891704119183025	0.46549977747181637	0	0	4.006410256410256	9.68431890774918	NAPA;AP2S1
Cardiac muscle contraction	2/78	0.0891704119183025	0.4577414478472861	0	0	4.006410256410256	9.68431890774918	COX4I1;COX7A2
Hepatocellular carcinoma	3/168	0.09327682058940721	0.4709714875661873	0	0	2.790178571428571	6.618815964149694	BAX;ACTB;NFE2L2
Phenylalanine metabolism	1/17	0.1034427371118123	0.5138768230715837	0	0	9.191176470588236	20.85236290445064	IL4I1
Salivary secretion	2/90	0.11330426316192935	0.5539319532360991	0	0	3.4722222222222223	7.561383626578357	CST3;LYZ
Focal adhesion	3/199	0.13548401142858346	0.6520168050000579	0	0	2.3555276381909547	4.708468064843542	ZYX;ACTB;MYL12A
Histidine metabolism	1/23	0.13735685483536672	0.65086017368143	0	0	6.7934782608695645	13.486229347100677	CNDP2
Protein export	1/23	0.13735685483536672	0.640998655898378	0	0	6.7934782608695645	13.486229347100677	SRP14
Longevity regulating pathway	2/102	0.1388846515554426	0.6384548161056167	0	0	3.063725490196078	6.048135831152652	BAX;HSPA1A
Human papillomavirus infection	4/330	0.16166225560459505	0.7322349224443423	0	0	1.8939393939393938	3.4512234128883224	PKM;TRADD;BAX;HLA-A
Sphingolipid signaling pathway	2/119	0.1769391292965311	0.7898152438163997	0	0	2.626050420168067	4.54818673276193	TRADD;BAX
beta-Alanine metabolism	1/31	0.1806033594018831	0.7946547813682856	0	0	5.040322580645161	8.626270346940142	CNDP2
Platelet activation	2/124	0.18842903699599972	0.8174104703488438	0	0	2.5201612903225805	4.206234386424388	ACTB;MYL12A
Osteoclast differentiation	2/127	0.19537231382279102	0.8357593424641616	0	0	2.4606299212598426	4.017835234160181	TYROBP;SIRPA
Alanine, aspartate and glutamate metabolism	1/35	0.20141285726628286	0.8497967128495222	0	0	4.4642857142857135	7.153564559286154	IL4I1
Natural killer cell mediated cytotoxicity	2/131	0.20467955767325496	0.8519095103157098	0	0	2.3854961832061066	3.784135630039097	TYROBP;HLA-A
Tyrosine metabolism	1/36	0.20653276746019075	0.8481612317031834	0	0	4.340277777777778	6.845903641383645	IL4I1
Thyroid cancer	1/37	0.21162010764816272	0.8576183309951858	0	0	4.222972972972973	6.558118905490297	BAX
Pyruvate metabolism	1/39	0.22169789896274575	0.8867915958509829	0	0	4.006410256410256	6.035415221727674	PKM
Fluid shear stress and atherosclerosis	2/139	0.22343149459114825	0.8822679530009444	0	0	2.2482014388489207	3.3692680391396452	ACTB;NFE2L2
Ferroptosis	1/40	0.2266887573639651	0.8837992059253322	0	0	3.90625	5.797567637774377	PCBP1
Tryptophan metabolism	1/42	0.23657540834484353	0.9108153221276476	0	0	3.720238095238095	5.362679577827511	IL4I1
Basal transcription factors	1/45	0.2511707084426133	0.9550688666706777	0	0	3.4722222222222223	4.797300200366046	TAF7
Type II diabetes mellitus	1/46	0.25597401623845856	0.9614633780664054	0	0	3.3967391304347823	4.628666232073623	PKM
Ribosome	2/153	0.25652280170023983	0.9519159388394441	0	0	2.042483660130719	2.7788760678202227	RPLP0;RPLP2
Nucleotide excision repair	1/47	0.2607467527484319	0.9560714267442504	0	0	3.324468085106383	4.4687687456261145	RAD23A
Valine, leucine and isoleucine degradation	1/48	0.26548911100363615	0.9620076022249403	0	0	3.255208333333333	4.316996915072218	IL4I1
Endocrine and other factor-regulated calcium reabsorption	1/48	0.26548911100363615	0.950821467315348	0	0	3.255208333333333	4.316996915072218	AP2S1
Arginine and proline metabolism	1/49	0.2702012828540778	0.9565746565408731	0	0	3.1887755102040813	4.172793704313759	CNDP2
Hippo signaling pathway	2/160	0.27312007706186886	0.955920269716541	0	0	1.953125	2.5348510503557855	YWHAQ;ACTB
Vibrio cholerae infection	1/50	0.27488345891042104	0.9512820825214571	0	0	3.125	4.035650177870076	ACTB
Cholesterol metabolism	1/50	0.27488345891042104	0.940712281604552	0	0	3.125	4.035650177870076	LRPAP1
Necroptosis	2/162	0.2778614347038345	0.9404540866899015	0	0	1.9290123456790123	2.470356338482476	TRADD;BAX
Amyotrophic lateral sclerosis (ALS)	1/51	0.27953582865449295	0.9358373394085199	0	0	3.063725490196078	3.905100509234818	BAX
Hepatitis B	2/163	0.28023152058131134	0.9280785842907945	0	0	1.9171779141104295	2.438917097878986	YWHAQ;BAX
RNA transport	2/165	0.2849700515611139	0.9337316583066285	0	0	1.8939393939393938	2.3775969440846927	EIF4A1;EIF4G2
Endometrial cancer	1/58	0.3112835057166046	1.0	0	0	2.693965517241379	3.1439956576192234	BAX
Axon guidance	2/181	0.3227219719226463	1.0	0	0	1.7265193370165743	1.9526313785814196	CFL1;MYL12A
Basal cell carcinoma	1/63	0.33310673203934055	1.0	0	0	2.48015873015873	2.7264194536744055	BAX
Central carbon metabolism in cancer	1/65	0.3416426504106414	1.0	0	0	2.4038461538461537	2.5817066587243978	PKM
Non-small cell lung cancer	1/66	0.3458698688347449	1.0	0	0	2.367424242424242	2.5134769798817613	BAX
Adipocytokine signaling pathway	1/69	0.35839061376201603	1.0	0	0	2.2644927536231885	2.3236679970661145	TRADD
RIG-I-like receptor signaling pathway	1/70	0.36251112250944123	1.0	0	0	2.2321428571428568	2.264955630297877	TRADD
Proteoglycans in cancer	2/201	0.3691796921233595	1.0	0	0	1.5547263681592038	1.5492409560778397	MSN;ACTB
Adherens junction	1/72	0.3706735345724701	1.0	0	0	2.170138888888889	2.1537186729351543	ACTB
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/72	0.3706735345724701	1.0	0	0	2.170138888888889	2.1537186729351543	ACTB
p53 signaling pathway	1/72	0.3706735345724701	1.0	0	0	2.170138888888889	2.1537186729351543	BAX
Melanoma	1/72	0.3706735345724701	1.0	0	0	2.170138888888889	2.1537186729351543	BAX
Inositol phosphate metabolism	1/74	0.37873224098517033	1.0	0	0	2.1114864864864864	2.050096730882299	TPI1
Gastric acid secretion	1/75	0.3827231137402218	1.0	0	0	2.0833333333333335	2.0009239414065276	ACTB
Glioma	1/75	0.3827231137402218	1.0	0	0	2.0833333333333335	2.0009239414065276	BAX
Pancreatic cancer	1/75	0.3827231137402218	1.0	0	0	2.0833333333333335	2.0009239414065276	BAX
Chronic myeloid leukemia	1/76	0.38668854906029426	1.0	0	0	2.0559210526315788	1.9534039735892534	BAX
Pertussis	1/76	0.38668854906029426	1.0	0	0	2.0559210526315788	1.9534039735892534	CFL1
PI3K-Akt signaling pathway	3/354	0.39565956189288437	1.0	0	0	1.3241525423728813	1.2277557331363884	YWHAQ;LPAR6;GNB2
Peroxisome	1/83	0.41374773442529955	1.0	0	0	1.8825301204819278	1.6613306250284299	PRDX1
Hypertrophic cardiomyopathy (HCM)	1/85	0.4212589949487659	1.0	0	0	1.838235294117647	1.589168096598225	ACTB
Colorectal cancer	1/86	0.4249787390653726	1.0	0	0	1.816860465116279	1.55471681874561	BAX
GABAergic synapse	1/89	0.43599623650027164	1.0	0	0	1.7556179775280898	1.457376523087199	GNB2
Pathways in cancer	4/530	0.44129962447528426	1.0	0	0	1.1792452830188678	0.9646594500684986	LPAR6;GNB2;BAX;NFE2L2
Dilated cardiomyopathy (DCM)	1/91	0.4432246116506438	1.0	0	0	1.7170329670329672	1.3971130037571682	ACTB
Morphine addiction	1/91	0.4432246116506438	1.0	0	0	1.7170329670329672	1.3971130037571682	GNB2
IL-17 signaling pathway	1/93	0.4503610609354925	1.0	0	0	1.6801075268817205	1.3402312841064417	TRADD
Small cell lung cancer	1/93	0.4503610609354925	1.0	0	0	1.6801075268817205	1.3402312841064417	BAX
NF-kappa B signaling pathway	1/95	0.4574067443219593	1.0	0	0	1.644736842105263	1.286483968078762	TRADD
Circadian entrainment	1/97	0.46436280723937656	1.0	0	0	1.610824742268041	1.2356461342398586	GNB2
Glycerophospholipid metabolism	1/97	0.46436280723937656	1.0	0	0	1.610824742268041	1.2356461342398586	MBOAT7
AGE-RAGE signaling pathway in diabetic complications	1/100	0.47463133363816096	1.0	0	0	1.5625	1.164401431264051	BAX
Glucagon signaling pathway	1/103	0.48470451351307703	1.0	0	0	1.5169902912621358	1.0986283740923088	PKM
Drug metabolism	1/108	0.5010690274785042	1.0	0	0	1.446759259259259	0.999727152762977	TPMT
TNF signaling pathway	1/110	0.5074695037203167	1.0	0	0	1.4204545454545454	0.9635208253739159	TRADD
Cholinergic synapse	1/112	0.5137885052765415	1.0	0	0	1.3950892857142856	0.9290507345659487	GNB2
Serotonergic synapse	1/113	0.5169177751495045	1.0	0	0	1.3827433628318584	0.9124328807885569	GNB2
Glutamatergic synapse	1/114	0.5200270611502799	1.0	0	0	1.3706140350877192	0.8962094683211592	GNB2
Thyroid hormone signaling pathway	1/116	0.526186187634614	1.0	0	0	1.3469827586206895	0.8648978448134905	ACTB
Neurotrophin signaling pathway	1/119	0.5352781386082565	1.0	0	0	1.3130252100840334	0.8205997661903479	BAX
Lysosome	1/123	0.5471319970871152	1.0	0	0	1.2703252032520327	0.7660889160640154	PSAP
Cell cycle	1/124	0.5500482795982016	1.0	0	0	1.2600806451612903	0.7532122272183913	YWHAQ
Oocyte meiosis	1/125	0.5529459282481555	1.0	0	0	1.25	0.7406188264711272	YWHAQ
Autophagy	1/128	0.5615282480434448	1.0	0	0	1.220703125	0.7044594700785959	ATG3
Purine metabolism	1/129	0.5643525347793672	1.0	0	0	1.2112403100775193	0.6929217067444405	PKM
MAPK signaling pathway	2/295	0.5655234340765738	1.0	0	0	1.059322033898305	0.6038173143167573	TRADD;HSPA1A
Relaxin signaling pathway	1/130	0.5671587708555319	1.0	0	0	1.2019230769230769	0.6816298020515261	GNB2
Dopaminergic synapse	1/131	0.5699470707439218	1.0	0	0	1.1927480916030533	0.6705770286368571	GNB2
Apelin signaling pathway	1/137	0.5863065295986527	1.0	0	0	1.1405109489051093	0.6089330954786504	GNB2
Ubiquitin mediated proteolysis	1/137	0.5863065295986527	1.0	0	0	1.1405109489051093	0.6089330954786504	UBE2D3
Estrogen signaling pathway	1/137	0.5863065295986527	1.0	0	0	1.1405109489051093	0.6089330954786504	HSPA1A
Breast cancer	1/147	0.6122112077736046	1.0	0	0	1.0629251700680271	0.5215539384201119	BAX
Phospholipase D signaling pathway	1/148	0.6147114243997344	1.0	0	0	1.0557432432432432	0.5137271430702439	LPAR6
Gastric cancer	1/149	0.6171956462978254	1.0	0	0	1.0486577181208052	0.5060499291892527	BAX
Oxytocin signaling pathway	1/153	0.6269746070858797	1.0	0	0	1.0212418300653594	0.47676597041963664	ACTB
Wnt signaling pathway	1/158	0.6388504214295319	1.0	0	0	0.9889240506329113	0.44312196823183964	CACYBP
Neuroactive ligand-receptor interaction	2/338	0.639754420065595	1.0	0	0	0.9245562130177514	0.4129723510676459	LPAR6;FPR3
Cellular senescence	1/160	0.6434950167541083	1.0	0	0	0.9765625	0.4305087851052736	HLA-A
NOD-like receptor signaling pathway	1/178	0.6827172541558496	1.0	0	0	0.8778089887640449	0.3350372906153133	GBP2
Alcoholism	1/180	0.6868017973815795	1.0	0	0	0.8680555555555556	0.3261367473302206	GNB2
Transcriptional misregulation in cancer	1/186	0.6987450009707133	1.0	0	0	0.8400537634408602	0.30113357592764484	BAX
Chemokine signaling pathway	1/190	0.7064549584812055	1.0	0	0	0.8223684210526315	0.2857695986219186	GNB2
Rap1 signaling pathway	1/206	0.7353853443265012	1.0	0	0	0.7584951456310679	0.23313155276073427	ACTB
Ras signaling pathway	1/232	0.776482214766384	1.0	0	0	0.6734913793103448	0.1703808869970543	GNB2
MicroRNAs in cancer	1/299	0.8554650559796121	1.0	0	0	0.5225752508361203	0.0815792395467568	VIM
