Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cholesterol metabolism	1/50	0.15037842149138922	0.7470411906346432	0	0	6.153846153846154	11.659079088530438	NPC2
Amyotrophic lateral sclerosis (ALS)	1/51	0.1531466080202981	0.7487167503214573	0	0	6.033182503770739	11.320419873525108	CASP1
Mineral absorption	1/51	0.1531466080202981	0.7370180510976846	0	0	6.033182503770739	11.320419873525108	MT2A
Regulation of actin cytoskeleton	2/214	0.15348818915049378	0.7272978808977244	0	0	2.8756290438533427	5.389307429360722	TMSB4X;ARPC5
Legionellosis	1/55	0.1641308259668801	0.7659438545121072	0	0	5.594405594405594	10.109602516680464	CASP1
Pathogenic Escherichia coli infection	1/55	0.1641308259668801	0.7545118566835682	0	0	5.594405594405594	10.109602516680464	ARPC5
Human cytomegalovirus infection	2/225	0.16603356814293932	0.7520343968827251	0	0	2.735042735042735	4.9109478108452445	CCL2;B2M
Glutathione metabolism	1/56	0.16685488800257076	0.7448015290549536	0	0	5.4945054945054945	9.838630650680285	LAP3
Endometrial cancer	1/58	0.17227681533370462	0.7580179874683003	0	0	5.305039787798409	9.329722569635413	GADD45B
VEGF signaling pathway	1/59	0.1749747357749802	0.7590453326576606	0	0	5.215123859191656	9.09055375478829	HSPB1
Basal cell carcinoma	1/63	0.185680101911481	0.7942982137324465	0	0	4.8840048840048835	8.223345387842004	GADD45B
Shigellosis	1/65	0.19098137657793157	0.8057844381644236	0	0	4.733727810650888	7.837062061618913	ARPC5
Aminoacyl-tRNA biosynthesis	1/66	0.19361925643389596	0.8058747429951345	0	0	4.662004662004662	7.65436663885718	WARS
Non-small cell lung cancer	1/66	0.19361925643389596	0.7951297464218661	0	0	4.662004662004662	7.65436663885718	GADD45B
Prolactin signaling pathway	1/70	0.2040863516150643	0.8270867933873658	0	0	4.395604395604396	6.9855476152531715	STAT1
p53 signaling pathway	1/72	0.20926961733498772	0.8370784693399508	0	0	4.273504273504273	6.6843240312052785	GADD45B
Melanoma	1/72	0.20926961733498772	0.8263466940920028	0	0	4.273504273504273	6.6843240312052785	GADD45B
Bacterial invasion of epithelial cells	1/74	0.2144196438115004	0.835965193594204	0	0	4.158004158004158	6.40257892610154	ARPC5
Glioma	1/75	0.21698225796024237	0.8353816931469332	0	0	4.102564102564103	6.268470520353364	GADD45B
Chronic myeloid leukemia	1/76	0.21953664088892447	0.8347813011578856	0	0	4.048582995951417	6.138607819915219	GADD45B
Pertussis	1/76	0.21953664088892447	0.8246010413876674	0	0	4.048582995951417	6.138607819915219	CASP1
Colorectal cancer	1/86	0.24463343883496388	0.9077963754357695	0	0	3.5778175313059033	5.037546893864017	GADD45B
Pathways in cancer	3/530	0.24758143171914787	0.9077985829702089	0	0	1.741654571843251	2.4313771855568693	HSP90AB1;GADD45B;STAT1
MAPK signaling pathway	2/295	0.24891560973720164	0.9019530329300954	0	0	2.0860495436766624	2.9009467675217646	GADD45B;HSPB1
Fc gamma R-mediated phagocytosis	1/91	0.2568821449606544	0.9199965191614135	0	0	3.38123415046492	4.5955634122957845	ARPC5
Small cell lung cancer	1/93	0.26172668236340957	0.9265726226198868	0	0	3.308519437551696	4.434919824039912	GADD45B
Amoebiasis	1/96	0.26893523781429146	0.9412733323500201	0	0	3.2051282051282053	4.209245769183832	HSPB1
Prostate cancer	1/97	0.2713226543232256	0.9389592981073426	0	0	3.1720856463124507	4.137816209209656	HSP90AB1
Progesterone-mediated oocyte maturation	1/99	0.27607448076764396	0.9447882230714926	0	0	3.1080031080031083	4.000262911627929	HSP90AB1
Chagas disease (American trypanosomiasis)	1/103	0.28548678503831637	0.9662629647450708	0	0	2.9873039581777445	3.744763369794043	CCL2
Parathyroid hormone synthesis, secretion and action	1/106	0.29246683985974964	0.9791281160522053	0	0	2.9027576197387517	3.568661790240114	MAFB
Thyroid hormone signaling pathway	1/116	0.31525228516270304	1.0	0	0	2.6525198938992043	3.062021367192494	STAT1
PI3K-Akt signaling pathway	2/354	0.319974507062947	1.0	0	0	1.738374619730552	1.9809021326207985	HSP90AB1;MCL1
Cell cycle	1/124	0.33295909137080504	1.0	0	0	2.4813895781637716	2.7288725689442646	GADD45B
Osteoclast differentiation	1/127	0.3394822527445883	1.0	0	0	2.4227740763173835	2.61740425931999	STAT1
Autophagy	1/128	0.3416426504106414	1.0	0	0	2.4038461538461537	2.5817066587243978	CTSL
Ubiquitin mediated proteolysis	1/137	0.3607757607501965	1.0	0	0	2.2459292532285233	2.289721897825256	UBE2L6
Estrogen signaling pathway	1/137	0.3607757607501965	1.0	0	0	2.2459292532285233	2.289721897825256	HSP90AB1
Parkinson disease	1/142	0.37116759167574376	1.0	0	0	2.1668472372697725	2.147565739522382	UBE2L6
Breast cancer	1/147	0.38139304025339804	1.0	0	0	2.0931449502878077	2.017634398484288	GADD45B
Gastric cancer	1/149	0.38543722157009613	1.0	0	0	2.065049044914817	1.9687701571592418	GADD45B
Cellular senescence	1/160	0.40721924308759594	1.0	0	0	1.9230769230769234	1.7276991495597303	GADD45B
Hepatitis B	1/163	0.4130266789363932	1.0	0	0	1.8876828692779615	1.669170533645148	STAT1
Hepatocellular carcinoma	1/168	0.4225814943339928	1.0	0	0	1.8315018315018314	1.5776061626142943	GADD45B
Transcriptional misregulation in cancer	1/186	0.4557277406930319	1.0	0	0	1.654259718775848	1.3000160589953416	GADD45B
Kaposi sarcoma-associated herpesvirus infection	1/186	0.4557277406930319	1.0	0	0	1.654259718775848	1.3000160589953416	STAT1
Endocytosis	1/244	0.5502946190985201	1.0	0	0	1.2610340479192939	0.7532174944362476	ARPC5
MicroRNAs in cancer	1/299	0.624939028936179	1.0	0	0	1.0290712631849757	0.4837676230579069	MCL1
Neuroactive ligand-receptor interaction	1/338	0.6703346630422847	1.0	0	0	0.9103322712790168	0.3641130580120422	C3AR1
