File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF583FUX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000AUQ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EP300-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF451YMU/, /files/ENCFF356LFX/, /files/ENCFF623AJW/, /files/ENCFF473SDY/, /files/ENCFF381IYY/, /files/ENCFF853FRF/	34676	ENCODE Processing Pipeline	287a510b1063ffe945e09b28398cb0b6		https://www.encodeproject.org/files/ENCFF583FUX/@@download/ENCFF583FUX.bed.gz				released	s3://encode-public/2021/02/11/e320743e-157f-4ce9-81f4-c803427c7e38/ENCFF583FUX.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, moderate library complexity, low read length, inconsistent platforms, mild to moderate bottlenecking		
ENCFF951YPL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DYE	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										RAD21-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF682VRL/, /files/ENCFF636BLH/, /files/ENCFF356LFX/, /files/ENCFF341CJU/, /files/ENCFF968ZQN/	458755	ENCODE Processing Pipeline	c72c29658ae4dabcb55f15d494a1cf44		https://www.encodeproject.org/files/ENCFF951YPL/@@download/ENCFF951YPL.bed.gz				released	s3://encode-public/2020/12/11/0693cc4a-e6e4-4aa5-a74a-67b52f0af874/ENCFF951YPL.bed.gz	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, inconsistent platforms		
ENCFF672PRI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BTO	TF ChIP-seq	/human-donors/ENCDO000ACV/	EFO:0005718	Ishikawa	cell line	Homo sapiens										TAF1-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF938JBJ/, /files/ENCFF403CIU/, /files/ENCFF356LFX/, /files/ENCFF248MYX/, /files/ENCFF170YVR/	312287	ENCODE Processing Pipeline	b1411342a2735f13d5da542424ca0778		https://www.encodeproject.org/files/ENCFF672PRI/@@download/ENCFF672PRI.bed.gz				released	s3://encode-public/2020/12/26/2ce85d4e-c71b-4871-b9a0-25a359b4001a/ENCFF672PRI.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth		
ENCFF044NSI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EDS	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										MAX-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF881DZX/, /files/ENCFF772ZHK/, /files/ENCFF356LFX/, /files/ENCFF008WTO/	267621	ENCODE Processing Pipeline	2b285525c23ace33a82b082f2ca7d2af		https://www.encodeproject.org/files/ENCFF044NSI/@@download/ENCFF044NSI.bed.gz				released	s3://encode-public/2020/12/10/4dbfa90e-b0e8-4d40-ba4b-cc04331dea80/ENCFF044NSI.bed.gz	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, borderline replicate concordance, low read length, low read depth		
ENCFF648QJE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BIV	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										SRF-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF595PNZ/, /files/ENCFF356LFX/, /files/ENCFF540USA/, /files/ENCFF809ZEZ/	100209	ENCODE Processing Pipeline	3fdd15d3388adf4f578644b4e06a2fdb		https://www.encodeproject.org/files/ENCFF648QJE/@@download/ENCFF648QJE.bed.gz				released	s3://encode-public/2020/12/12/cdf9089d-4744-40e6-a22b-d5d20141e17f/ENCFF648QJE.bed.gz	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, low read length, mild to moderate bottlenecking, low read depth		
ENCFF599KZZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EDU	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										MXI1-human	DNA						2012-08-20	ENCODE		see document		1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF674OWW/, /files/ENCFF454PQR/, /files/ENCFF126ZPH/, /files/ENCFF356LFX/, /files/ENCFF838XHB/, /files/ENCFF862DIU/, /files/ENCFF153QSO/	430189	ENCODE Processing Pipeline	89970f3a10119bc4f03752d80b1d7c81		https://www.encodeproject.org/files/ENCFF599KZZ/@@download/ENCFF599KZZ.bed.gz				released	s3://encode-public/2021/01/07/8eb6ee5a-e461-400b-a514-3360cc73fce0/ENCFF599KZZ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read length, low read depth, inconsistent platforms		
ENCFF443FKS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BKP	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										JUND-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF595PNZ/, /files/ENCFF459HBJ/, /files/ENCFF356LFX/, /files/ENCFF665ARI/	240753	ENCODE Processing Pipeline	530b90767dc32cf83fb8468452cde99d		https://www.encodeproject.org/files/ENCFF443FKS/@@download/ENCFF443FKS.bed.gz				released	s3://encode-public/2020/12/26/c5705af6-6627-495c-9e64-43b0c47c2cf2/ENCFF443FKS.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, borderline replicate concordance, low read length, inconsistent platforms, mild to moderate bottlenecking	severe bottlenecking, poor library complexity	
ENCFF881IAR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BPC	TF ChIP-seq	/human-donors/ENCDO000AAR/	EFO:0005234	PFSK-1	cell line	Homo sapiens										POLR2AphosphoS5-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF962ORJ/, /files/ENCFF352FTX/, /files/ENCFF657OET/	424002	ENCODE Processing Pipeline	a4acea339a38f3a634722ecb6b52abe6		https://www.encodeproject.org/files/ENCFF881IAR/@@download/ENCFF881IAR.bed.gz				released	s3://encode-public/2020/12/10/4bd95c28-f119-4fda-ad1a-84125d1a6ea4/ENCFF881IAR.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, moderate library complexity, low read length, control low read depth, mild to moderate bottlenecking		
ENCFF146GZZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BKF	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ZBTB33-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF197BGH/, /files/ENCFF993ZYO/, /files/ENCFF953TQL/, /files/ENCFF866OZI/, /files/ENCFF356LFX/	62007	ENCODE Processing Pipeline	8ac0ef9bb5256371dae70c5c42031e27		https://www.encodeproject.org/files/ENCFF146GZZ/@@download/ENCFF146GZZ.bed.gz				released	s3://encode-public/2020/12/10/f3f0d2a9-6260-400d-b5af-784444c8cb9b/ENCFF146GZZ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read length, low read depth		
ENCFF532ZYE	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000BLD	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										RAD21-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF280FJM/, /files/ENCFF356LFX/, /files/ENCFF880PKZ/, /files/ENCFF595PNZ/	1222209	ENCODE Processing Pipeline	1cc3877b6a54221ebdd5574666354aee		https://www.encodeproject.org/files/ENCFF532ZYE/@@download/ENCFF532ZYE.bed.gz				released	s3://encode-public/2020/12/12/805b6b1c-6ded-4e10-b637-cbaab77fe962/ENCFF532ZYE.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, moderate library complexity, low read length, inconsistent platforms, mild to moderate bottlenecking		
ENCFF039IZP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BPK	TF ChIP-seq	/human-donors/ENCDO000ABB/	EFO:0002713	Panc1	cell line	Homo sapiens										REST-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF809IOV/, /files/ENCFF454HMF/, /files/ENCFF860IOL/, /files/ENCFF747MBS/	62310	ENCODE Processing Pipeline	d7d9b82d0a62d29134fc9026600bd336		https://www.encodeproject.org/files/ENCFF039IZP/@@download/ENCFF039IZP.bed.gz				released	s3://encode-public/2020/12/26/760ea28d-d409-4568-8b0f-1d668d25889e/ENCFF039IZP.bed.gz	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, low read length, mild to moderate bottlenecking	insufficient replicate concordance, insufficient read depth	extremely low read depth
ENCFF582SNT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BPJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										CTCF-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF395PSG/, /files/ENCFF524GTB/, /files/ENCFF588LAC/, /files/ENCFF356LFX/, /files/ENCFF579FHH/, /files/ENCFF939RUV/	785405	ENCODE Processing Pipeline	e5d29f1be4f8bf69ce79686a3b6d13b7		https://www.encodeproject.org/files/ENCFF582SNT/@@download/ENCFF582SNT.bed.gz				released	s3://encode-public/2020/09/26/b4dbf1fc-a35b-4478-aad2-93f0309a4e77/ENCFF582SNT.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read depth, moderate library complexity, low read length, control low read depth, mild to moderate bottlenecking	insufficient read depth	
ENCFF882AEU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BJY	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ATF3-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF373EUJ/, /files/ENCFF447BVE/, /files/ENCFF554UVL/, /files/ENCFF356LFX/	71669	ENCODE Processing Pipeline	040bd9343f7a30bef6470a65cdb5ec45		https://www.encodeproject.org/files/ENCFF882AEU/@@download/ENCFF882AEU.bed.gz				released	s3://encode-public/2020/12/12/97e501be-2f07-4412-b72a-fc7a1657b92a/ENCFF882AEU.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, moderate library complexity, borderline replicate concordance, low read length, mild to moderate bottlenecking		extremely low read depth
ENCFF521AKL	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000ARI	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										EZH2-human	DNA						2012-03-06	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF245IFK/, /files/ENCFF856IEI/, /files/ENCFF975CYA/, /files/ENCFF513RHL/, /files/ENCFF539MTH/	109900	ENCODE Processing Pipeline	122b619b6e36a8771ab61e7939808ec3		https://www.encodeproject.org/files/ENCFF521AKL/@@download/ENCFF521AKL.bed.gz				released	s3://encode-public/2020/12/12/8789c73f-5d47-4c4e-a3f6-ffeecc4c2764/ENCFF521AKL.bed.gz	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, low read length, mild to moderate bottlenecking, low read depth		
ENCFF930WPG	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BKV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										RAD21-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF985ZJW/, /files/ENCFF939RUV/, /files/ENCFF356LFX/, /files/ENCFF395PSG/, /files/ENCFF150ILI/, /files/ENCFF579FHH/	714504	ENCODE Processing Pipeline	b21e4e3e0b4afb82902692db97d35bfc		https://www.encodeproject.org/files/ENCFF930WPG/@@download/ENCFF930WPG.bed.gz				released	s3://encode-public/2020/12/10/d69f5288-971f-41d9-a448-d24a21fda48d/ENCFF930WPG.bed.gz	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, low read length, mild to moderate bottlenecking	insufficient read depth	
ENCFF670NSE	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000DMF	TF ChIP-seq	/human-donors/ENCDO000ACX/	EFO:0005726	LNCaP clone FGC	cell line	Homo sapiens										CTCF-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF554TIY/, /files/ENCFF419RSJ/, /files/ENCFF248OEO/, /files/ENCFF345PIA/	839295	ENCODE Processing Pipeline	fd34b2de83e7c0651052d035a4b56d08		https://www.encodeproject.org/files/ENCFF670NSE/@@download/ENCFF670NSE.bed.gz				released	s3://encode-public/2017/07/04/a44437b3-769c-4a7c-be45-a2800ce1ea1f/ENCFF670NSE.bed.gz	ENCODE3 GRCh38	released	mild to moderate bottlenecking	control insufficient read depth, insufficient read depth	extremely low read depth
ENCFF596RKE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DMF	TF ChIP-seq	/human-donors/ENCDO000ACX/	EFO:0005726	LNCaP clone FGC	cell line	Homo sapiens										CTCF-human	DNA						2012-08-27	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF062ETD/, /files/ENCFF265PUN/, /files/ENCFF898ZLV/, /files/ENCFF356LFX/	851650	ENCODE Processing Pipeline	d5ee5865d02475ed3e8c58061cba3919		https://www.encodeproject.org/files/ENCFF596RKE/@@download/ENCFF596RKE.bed.gz				released	s3://encode-public/2020/09/26/5ca44200-13f6-428f-9c17-f0d3f6397b62/ENCFF596RKE.bed.gz	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking	control insufficient read depth, insufficient read depth	extremely low read depth
ENCFF738LQC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BVL	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										CREB1-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF379RHD/, /files/ENCFF356LFX/, /files/ENCFF430MNY/, /files/ENCFF434VWY/, /files/ENCFF002WEO/, /files/ENCFF178TJG/	418510	ENCODE Processing Pipeline	5784b98dfda2568525bb799ba7b85953		https://www.encodeproject.org/files/ENCFF738LQC/@@download/ENCFF738LQC.bed.gz				released	s3://encode-public/2020/12/26/872901e5-9d4b-4049-8887-c9b501b94508/ENCFF738LQC.bed.gz	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read depth, inconsistent platforms		
ENCFF474PRJ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000FCC	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										NFE2-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF318XIW/, /files/ENCFF088DMI/, /files/ENCFF356LFX/, /files/ENCFF365TIT/, /files/ENCFF246WWY/	494676	ENCODE Processing Pipeline	6d0d8313eb77f1cbd34f5444edcb1ae7		https://www.encodeproject.org/files/ENCFF474PRJ/@@download/ENCFF474PRJ.bed.gz				released	s3://encode-public/2021/02/04/57def3b8-e5c1-47c8-89fb-fc3a29c1745f/ENCFF474PRJ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, antibody characterized with exemption		
ENCFF160MCO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EVK	TF ChIP-seq	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens										E2F6-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF458QEC/, /files/ENCFF152EAF/, /files/ENCFF246ORK/	122408	ENCODE Processing Pipeline	86b598bf0f4b40933b5fffb273551b69		https://www.encodeproject.org/files/ENCFF160MCO/@@download/ENCFF160MCO.bed.gz				released	s3://encode-public/2020/12/11/3e10851f-788f-4d72-ad42-92cef279c02b/ENCFF160MCO.bed.gz	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, inconsistent platforms	insufficient read length, insufficient read depth	extremely low read depth
ENCFF582BHA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EVI	TF ChIP-seq	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens										ELK4-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF374QGP/, /files/ENCFF949UKH/, /files/ENCFF356LFX/, /files/ENCFF621JKO/	125313	ENCODE Processing Pipeline	08aab1df505a22d2deb51c9d6f6db5de		https://www.encodeproject.org/files/ENCFF582BHA/@@download/ENCFF582BHA.bed.gz				released	s3://encode-public/2020/12/11/0087df42-d2e9-4e0c-b5c9-937daf76357f/ENCFF582BHA.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, inconsistent platforms	insufficient read length, insufficient read depth	
